date,electricity_generation,domestic,industrial,services,producer_own_use,operator_own_use,lng_own_use,storage_own_use,others,total_demand,rainfall,sunhours,windspeed,temperature,heating_degree_days,domestic_price,industrial_price
Q1 2001,82019,154586,61949,37626,20415,2248,0,0,15383,374226,249.2489354,2.832804182,8.794620556,4.714600553,8.535147692,50.65941713,63.14692595
Q2 2001,78583,69547,43106,25028,19250,1327,0,0,10976,247817,178.4850006,6.45253785,8.241630769,11.42111084,3.693703806,52.13343989,61.80951896
Q3 2001,72592,35197,32242,15464,17828,844,0,0,9996,184163,315.9032929,5.462754593,7.766156522,15.85013793,0.649218154,52.2968676,57.7097847
Q4 2001,79324,120097,42442,34992,20964,2130,0,0,13706,313655,386.5827322,2.79097304,9.458103261,8.534336504,7.166271067,52.46502473,65.49985279
Q1 2002,82446,148988,52670,35837,20727,2287,0,0,13790,356745,520.0009823,2.735622721,11.57778556,6.979438177,8.535147692,54.15095369,67.80678259
Q2 2002,82900,66371,36375,22062,20038,1600,0,0,10903,240249,320.132916,6.176893543,9.651286264,11.86608849,3.693703806,54.13097575,56.2075774
Q3 2002,83238,32744,30597,14280,17281,929,0,0,9544,188613,252.0036447,5.547617873,6.500485326,15.79855639,0.649218154,54.03598513,51.19186877
Q4 2002,80858,128269,45434,28654,21318,2201,0,0,12902,319636,360.6449786,2.065889751,8.753621196,8.338076178,7.166271067,53.53097592,60.62896432
Q1 2003,79390.98,157738.6,53213.21,35444.71,21256.17,2443,0,0,12383.73,361870.4,258.655734,3.806208949,9.604857778,5.754078052,9.732519929,53.52308297,64.21870178
Q2 2003,76333.33,62658.52,39306.66,22532.08,18887.25,1787,0,0,8308.37,229813.21,260.0650952,6.766557751,9.040245055,12.63171007,3.183900464,53.49969556,55.09085524
Q3 2003,82068.83,34287.59,29729.45,12661.04,16806.8,1300,0,0,8358.89,185212.6,188.7681597,6.313262682,7.598631522,16.63876346,0.606677475,53.87858756,50.81549158
Q4 2003,86132.62,131801.59,43890.43,36099.02,19897.95,1945,0,0,11413.08,331179.69,331.359865,2.814558881,9.187796739,7.454463644,7.906211973,54.10806646,68.25921947
Q1 2004,83686.69,159662.94,52565.65,41112.75,20215.44,2263,0,0,13025.91,372532.38,371.6950899,2.763204364,9.769412088,5.915808342,9.588041184,55.03129223,66.25613104
Q2 2004,81845.24,66867.32,34018.67,24097.53,19769.44,1439,0,0,10058.61,238095.81,276.2307667,6.215676988,8.290174725,12.31809473,3.4626246,55.58308969,55.35684474
Q3 2004,85611.87,37341.15,26016.13,15189.17,17191.4,862,0,0,9321.72,191533.44,425.6758565,5.586284727,8.451633152,15.96591001,0.699898092,55.87466228,58.28751402
Q4 2004,89085.74,132539.75,41288.11,33075.2,19805.48,1996,0,0,12437.07,330227.35,469.5835191,2.240035803,9.310311957,8.114148061,7.39054128,57.75795643,75.62306689
Q1 2005,78777.29,154894.1,50268.61,40469.86,19942.99,2158,0,0,13886.38,360397.23,401.2606702,2.386526712,10.33045389,6.091705328,9.39227061,60.97706934,88.84060708
Q2 2005,85551.06,68174.57,34186.48,24286.41,18811.18,1523,0,0,12008.44,244541.14,289.0440876,6.308248307,8.681141209,11.79312978,4.091095381,60.86076513,74.84535977
