date,electricity_generation,domestic,industrial,services,producer_own_use,operator_own_use,lng_own_use,storage_own_use,others,demand
Q1 2001,82019,154586,61949,37626,20415,2248,0,0,15383,374226
Q2 2001,78583,69547,43106,25028,19250,1327,0,0,10976,247817
Q3 2001,72592,35197,32242,15464,17828,844,0,0,9996,184163
Q4 2001,79324,120097,42442,34992,20964,2130,0,0,13706,313655
Q1 2002,82446,148988,52670,35837,20727,2287,0,0,13790,356745
Q2 2002,82900,66371,36375,22062,20038,1600,0,0,10903,240249
Q3 2002,83238,32744,30597,14280,17281,929,0,0,9544,188613
Q4 2002,80858,128269,45434,28654,21318,2201,0,0,12902,319636
Q1 2003,79390.98,157738.6,53213.21,35444.71,21256.17,2443,0,0,12383.73,361870.4
Q2 2003,76333.33,62658.52,39306.66,22532.08,18887.25,1787,0,0,8308.37,229813.21
Q3 2003,82068.83,34287.59,29729.45,12661.04,16806.8,1300,0,0,8358.89,185212.6
Q4 2003,86132.62,131801.59,43890.43,36099.02,19897.95,1945,0,0,11413.08,331179.69
Q1 2004,83686.69,159662.94,52565.65,41112.75,20215.44,2263,0,0,13025.91,372532.38
Q2 2004,81845.24,66867.32,34018.67,24097.53,19769.44,1439,0,0,10058.61,238095.81
Q3 2004,85611.87,37341.15,26016.13,15189.17,17191.4,862,0,0,9321.72,191533.44
Q4 2004,89085.74,132539.75,41288.11,33075.2,19805.48,1996,0,0,12437.07,330227.35
Q1 2005,78777.29,154894.1,50268.61,40469.86,19942.99,2158,0,0,13886.38,360397.23
Q2 2005,85551.06,68174.57,34186.48,24286.41,18811.18,1523,0,0,12008.44,244541.14
Q3 2005,88820.96,33242.32,25458.58,13389.27,15910.11,1082,0,0,9871.84,187775.08
Q4 2005,77920.35,125568.25,41471.8,32645.77,18707.53,1792,0,0,12719.09,310824.79
Q1 2006,67286.47,157415.56,58184.51,40370.38,19192,2003,0,0,14373.01,358824.93
Q2 2006,74499.18,70160.69,26940.84,19972.08,17171,1112,0,0,11303.24,221159.03
Q3 2006,80173.84,27141.2,22114.34,14017.8,15237,1313,0,0,10072.75,170069.93
Q4 2006,88853.27,112210.43,37253.91,26293.51,17652,1403,0,0,12861.97,296528.09
Q1 2007,93428.89,128264.72,48793.3,39023.15,17278.37,1735,0,0,15219.48,343742.91
Q2 2007,94436.01,54402.6,26449.95,18825.07,16484.45,868,0,0,11830.62,223296.7
Q3 2007,80409.02,39499.55,21510.7,13052.87,14267.86,755,0,0,10972.54,180467.54
Q4 2007,87018.4,130701.18,36556.52,23925.37,16199.1,1340,0,0,14929.88,310670.45
Q1 2008,99533.48,142631.4,46774.47,39545.43,16370.15,1585,30.95,62.28,13252.83,359785.99
Q2 2008,91485.06,59015.13,27143.53,27263.99,15521.13,887,14.22,263.71,10132,231725.77
Q3 2008,97453.55,33466.84,22063.63,12005.11,13496.85,366,11.77,305.02,9257.77,188426.54
Q4 2008,87726.92,124440.45,32259.86,32328.37,15936.17,1427,76.76,159.56,11994.2,306349.29
Q1 2009,82509.81,148491.43,37530.35,30220.49,16144.08,1403,198.36,92.91,12697.85,329288.28
Q2 2009,83485.72,51150.44,20387.74,18541.2,16145.47,602,281.16,360.46,9261.62,200215.81
Q3 2009,91782.55,30106.21,18134.59,13368.84,13379.09,225,448.1,168.35,8916.01,176528.74
Q4 2009,100973.2,115451.2,30281.94,30911.58,15429.36,580,731.06,60.5,12425.36,306844.2
Q1 2010,103118.04,163307.75,38948.22,32586.51,16455.94,1378,720.49,67.09,14825.87,371407.91
Q2 2010,98054.86,55225.61,21412.35,19370.55,16107.21,707,727.18,304.23,11414.88,223323.87
Q3 2010,87389.81,30519.48,18039.27,13342.53,13557.52,328,657.58,215.64,9726.54,173776.37
