date,electricity,domestic,industrial,total_demand,rainfall,sunhours,windspeed,temperature,heating_degree_days,domestic_price,industrial_price
Q1 2001,117221,154586,102419,374226,249.2489354,2.832804182,8.794620556,4.714600553,8.535147692,50.65941713,63.14692595
Q2 2001,107293,69547,70977,247817,178.4850006,6.45253785,8.241630769,11.42111084,3.693703806,52.13343989,61.80951896
Q3 2001,98417,35197,50549,184163,315.9032929,5.462754593,7.766156522,15.85013793,0.649218154,52.2968676,57.7097847
Q4 2001,113281,120097,80277,313655,386.5827322,2.79097304,9.458103261,8.534336504,7.166271067,52.46502473,65.49985279
Q1 2002,116556,148988,91202,356745,520.0009823,2.735622721,11.57778556,6.979438177,8.535147692,54.15095369,67.80678259
Q2 2002,112747,66371,61132,240249,320.132916,6.176893543,9.651286264,11.86608849,3.693703806,54.13097575,56.2075774
Q3 2002,108297,32744,47573,188613,252.0036447,5.547617873,6.500485326,15.79855639,0.649218154,54.03598513,51.19186877
Q4 2002,114584,128269,76783,319636,360.6449786,2.065889751,8.753621196,8.338076178,7.166271067,53.53097592,60.62896432
Q1 2003,112968.63,157738.6,91163.17,361870.4,258.655734,3.806208949,9.604857778,5.754078052,9.732519929,53.52308297,64.21870178
Q2 2003,102811.19,62658.52,64343.49,229813.21,260.0650952,6.766557751,9.040245055,12.63171007,3.183900464,53.49969556,55.09085524
Q3 2003,106028.78,34287.59,44896.24,185212.6,188.7681597,6.313262682,7.598631522,16.63876346,0.606677475,53.87858756,50.81549158
Q4 2003,116883.9,131801.59,82494.2,331179.69,331.359865,2.814558881,9.187796739,7.454463644,7.906211973,54.10806646,68.25921947
Q1 2004,116685.78,159662.94,96183.65,372532.38,371.6950899,2.763204364,9.769412088,5.915808342,9.588041184,55.03129223,66.25613104
Q2 2004,110607.05,66867.32,60621.45,238095.81,276.2307667,6.215676988,8.290174725,12.31809473,3.4626246,55.58308969,55.35684474
Q3 2004,110481.73,37341.15,43710.55,191533.44,425.6758565,5.586284727,8.451633152,15.96591001,0.699898092,55.87466228,58.28751402
Q4 2004,120819.04,132539.75,76868.56,330227.35,469.5835191,2.240035803,9.310311957,8.114148061,7.39054128,57.75795643,75.62306689
Q1 2005,112786.42,154894.1,92716.69,360397.23,401.2606702,2.386526712,10.33045389,6.091705328,9.39227061,60.97706934,88.84060708
Q2 2005,115915.46,68174.57,60451.11,244541.14,289.0440876,6.308248307,8.681141209,11.79312978,4.091095381,60.86076513,74.84535977
Q3 2005,113706.7,33242.32,40826.07,187775.08,290.3057893,5.937286998,7.977344565,15.91772863,0.590498183,61.27614109,76.76790795
Q4 2005,109160.75,125568.25,76095.79,310824.79,392.191383,2.602219822,8.711248913,8.11201741,7.411882629,65.87364833,129.4052562
Q1 2006,101034.51,157415.56,100374.85,358824.93,295.0154243,2.400215482,8.781474444,4.561931648,10.9264766,68.61994299,145.7990758
Q2 2006,102054.45,70160.69,48943.9,221159.03,284.4959215,6.393895771,8.404175824,12.02323603,3.77155549,77.38823706,98.39033276
Q3 2006,104765.6,27141.2,38163.12,170069.93,317.1156582,6.57799817,7.894291304,17.28868743,0.171185557,81.89865996,92.19933222
Q4 2006,118739.26,112210.43,65578.4,296528.09,695.7868959,2.672534377,10.93583152,9.091377225,6.41289971,89.9307527,109.8564814
Q1 2007,125104.71,128264.72,90373.49,343742.91,484.1533164,3.206602377,11.05407333,6.716725096,8.783555976,92.09610596,100.0584104
Q2 2007,121062.03,54402.6,47832.06,223296.7,247.9300746,5.845500264,7.922185714,12.65061433,2.96786149,84.93545824,71.33142967
Q3 2007,103847.4,39499.55,37120.61,180467.54,296.5601044,5.834445705,8.307891304,14.89261433,1.053029244,79.61386589,75.04637432
Q4 2007,116930.35,130701.18,63038.93,310670.45,387.7344629,2.537609272,8.809783696,7.847373848,7.639624741,78.52093737,105.4010111
